C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\3.tif,89
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\5.tif,106
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\9.tif,107
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\8.tif,204
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\4.tif,229
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\7.tif,277
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\2.tif,283
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\6.tif,289
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\1.tif,394
C:\Users\JR13\OneDrive - CEFAS\My onedrive documents\SimpleExercise\data\raw\10.tif,420
